Drug_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DB00006,5.652489739,2.607335455,-1.884108879,1.749545931,-0.588047613,1.016885954,-0.004858765,-0.482591984,0.434877321,-0.812535621,-0.323404107,0.812013635,-0.384318131,0.119286155,0.286725111,-0.184591694,-0.327931003,0.442974399,-0.61404792,-0.076627452,0.340695706,0.255502213,-0.327779356,0.109177409,0.150695116,0.375746997,0.065526903,-0.233061252,-0.153720474,-0.152383339,0.129913507,0.095902041,0.398168546,-0.323353154,-0.051518857,-0.057062419,0.144248772,-0.071189281,0.195704941,0.035196076,0.162578256,0.09121411,-0.129116509,0.272678929,0.097784547,-0.080394167,-0.051023821,-0.06141121,-0.033222674,-0.040363925
DB00014,1.829873523,2.841766605,-1.649874101,1.855404699,-0.600810424,1.46853438,-0.25101795,-0.722271173,0.396410153,-0.811719522,-0.605202508,0.661469408,-0.347677755,-0.081840647,0.247668857,-0.28689461,-0.12063237,0.478503441,-0.550274425,0.027616805,0.159045097,0.139115304,-0.247499344,0.091032765,0.201716365,0.400314654,-0.023509936,-0.152783239,-0.077905883,-0.219136653,0.15623816,0.122339253,0.316144737,-0.110719171,-0.154268278,-0.06543621,0.075953304,0.004249647,0.24206537,0.007791703,0.036381262,0.018972278,-0.10777581,0.061563487,-0.033572474,0.097504934,-0.01264024,0.092608852,0.029773279,0.108222624
DB00027,6.211935155,2.005225038,-1.964865095,2.442881735,0.003008368,1.096166169,-0.139942396,-0.379661006,0.334175429,-0.802037006,-0.391923055,0.582183147,-0.449238718,-0.099269661,0.11524626,-0.181759352,-0.25737292,0.364294871,-0.656924252,0.009247477,0.267611922,0.162084982,-0.344609705,0.071336467,0.109907159,0.28523357,-0.040803397,-0.129140002,0.051031657,-0.226320134,0.241425456,-0.008739651,0.369209833,-0.143894446,-0.032294756,0.036061433,0.236082617,0.099309218,0.141629655,-0.043427894,0.183285973,0.0658774,0.024350026,0.163153813,0.019376342,-0.078970391,-0.011521141,-0.071869107,-0.049081242,-0.067632328
DB00035,1.167833092,2.641579024,-1.837697477,1.356605409,-1.532764235,1.278378569,-0.314255056,-0.723830844,0.446949484,-0.728687314,-0.084297099,0.472788408,-0.183604478,0.064256889,0.257790179,-0.173315531,-0.252594002,0.38747795,-0.406857372,-0.030817304,0.06031454,-0.012417304,0.046251598,-0.05508964,0.063174395,0.372849376,-0.054464234,-0.023009868,-0.126509233,-0.078163878,-0.097110091,0.068094826,0.122428617,0.019540415,-0.009862037,-0.182686321,-0.032174265,0.052860382,0.143185765,-0.065108931,-0.130469141,-0.009184707,-0.151491298,-0.102400127,-0.170224988,-0.001293729,0.097185668,0.130740551,-0.003150899,0.153387992
DB00050,3.037123772,2.387533709,-1.765719218,2.26861668,-0.58106621,1.354780507,-0.285167973,-0.641684636,0.381953688,-0.779898872,-0.508312189,0.729203106,-0.476599084,0.057908616,0.181378956,-0.181671591,-0.089214335,0.501229187,-0.698946016,0.131266085,0.258297687,0.302560524,-0.2200376,0.233789454,0.222088361,0.492338079,0.042937686,-0.325153102,-0.108757299,-0.133744512,0.169573268,0.050907578,0.300485348,-0.152180831,-0.143417083,-0.083328834,0.118976568,0.013667149,0.219027741,-0.007589785,0.132144585,0.107068338,-0.103027137,0.199094977,0.054467946,0.042612753,-0.035329721,0.012614837,0.080295822,0.054471013
DB00080,3.884347589,2.703276683,-1.386526482,2.184076698,-0.549595368,1.663900636,-0.36543172,-0.321718962,0.546331743,-0.893407682,0.003479961,0.478898167,-0.532740847,-0.051948079,0.132379702,-0.003065921,-0.054769284,0.377871974,-0.589396101,-0.01232887,0.30864197,0.201577164,-0.046556184,0.001264523,0.100962655,0.375713081,0.012795064,0.018460228,-0.073680748,-0.125399616,0.032579014,0.051761538,0.160335678,-0.200700835,0.112792061,-0.026841068,0.045155999,-0.189117375,0.050572391,-0.054282807,0.065155302,0.025709889,-0.090900155,0.065662926,-0.040127833,-0.157166356,-0.033899829,0.014970803,-0.1455219,0.034467701
DB00091,5.979060724,3.238947882,-1.04106285,1.500572572,0.327266896,1.180749401,-0.389832117,0.043153473,0.443320122,-0.780667691,-0.358923201,0.287200241,-0.321794124,-0.385108485,0.100972181,0.038949714,-0.190339729,0.089068202,-0.365157705,-0.116253023,0.183119002,-0.082924129,0.16645514,-0.03699695,0.054534474,-0.129130264,0.004248921,0.09101244,0.082748273,-0.174492735,0.137951863,0.08567697,0.198582983,0.120738508,0.005613114,0.102870744,0.234549374,0.07560053,-0.002568604,-0.1075628,0.165017664,0.08980713,0.14831292,0.120284804,-0.126437109,-0.045523631,0.146802948,0.037373321,-0.124733167,-0.016601365
DB00093,1.34432769,2.619359047,-1.968328924,1.57459808,-1.50109193,1.154714947,-0.296420179,-0.754940621,0.51022076,-0.98341744,0.024959597,0.346211281,-0.160751976,0.029668774,0.176890542,-0.140406838,-0.108823931,0.398848292,-0.382379829,0.025171367,0.066583788,0.031342129,0.000956885,-0.111106259,0.070790791,0.31470546,-0.023436149,0.016923822,-0.109662764,0.033381857,-0.020637305,0.013708579,0.068261056,-0.015106782,0.041981913,-0.129698823,-0.102944667,0.043996523,0.089477074,-0.073187674,-0.125805827,0.014170586,-0.186688052,-0.132286345,-0.179627942,-0.101151266,0.106025176,0.03792266,-0.081453316,0.190967195
DB00104,0.515302648,2.315062634,-1.333164598,2.110365159,-1.00204318,1.686936062,-0.062599751,-0.36169963,0.146756598,-0.901555553,-0.090627268,0.31254537,-0.371433496,0.079321823,0.188607594,-0.238486027,0.068081494,0.693839821,-0.354419,0.093988628,0.121396137,0.027970493,0.028252853,-0.176456786,-0.068204142,0.294958714,-0.141333445,-0.126460368,-0.067531346,0.064480932,0.033903477,0.1103785,-0.071307212,0.054572176,-0.037597024,0.01625465,-0.040712385,0.041418523,0.017570829,-0.209262719,-0.09765249,-0.072486399,-0.140854514,-0.197182219,-0.099889089,-0.078326281,0.041012173,-0.022238996,-0.155396955,0.140258348
DB00106,2.982390479,2.478587058,-1.791448432,2.317632396,-0.464413562,1.440135024,-0.242861865,-0.621505446,0.395448253,-0.787422023,-0.599994658,0.687493941,-0.441498536,-0.027523236,0.162468073,-0.156470347,-0.089004201,0.420390939,-0.697052107,0.082105144,0.227895172,0.242570869,-0.212636986,0.233387603,0.236341534,0.40499794,0.047046573,-0.258818308,-0.038831372,-0.149763209,0.224853205,0.040029499,0.318085187,-0.092024196,-0.189154806,-0.0378795,0.137579578,0.089925246,0.166007444,0.025846567,0.132326063,0.107147943,-0.041687484,0.180470834,0.015109275,0.066517424,-0.011408277,0.00348033,0.073671645,0.013675288
